PLATEIFU,RA,DEC,REDSHIFT,LOG_MASS,FUV_MAG,NUV_MAG,U_MAG,G_MAG,R_MAG,I_MAG,Z_MAG
8611-6104,260.47113661,60.9654725985,0.0164753,8.453251,18.17639,17.890015,17.386242,16.549826,16.28397,16.172472,16.124454
8987-6101,137.234890412,27.513816822,0.0219164,8.490601,20.55559,19.887054,18.684725,18.011282,17.570202,17.337059,17.21318
9502-6102,128.904449009,25.004161773,0.0172894,8.496263,20.202492,20.233347,18.579529,17.637878,17.174093,16.920994,16.886349
8552-6101,227.016998374,42.8190204226,0.0180115,8.507049,18.418148,18.045803,17.730293,16.817034,16.566446,16.387665,16.269606
8985-6101,205.241146948,31.4191069725,0.0164928,8.510023,20.097221,19.597868,19.958681,17.31065,16.950516,16.744465,16.614498
8937-6103,118.998275581,29.8320062313,0.0167859,8.518244,19.294561,18.946014,17.9267,17.197454,16.61595,16.423664,16.626247
8239-12703,117.568593951,47.8894054153,0.0180264,8.530721,19.287666,18.947044,17.674595,17.02912,16.474546,16.464878,16.088383
8727-3702,54.5540461172,-5.54040435712,0.0221492,8.531279,18.543032,18.10941,17.46393,16.546206,16.278263,16.182924,16.04524
8623-12701,311.401730212,0.510493860872,0.0134866,8.574782,20.367039,19.846407,18.48818,17.478989,16.988663,16.28933,16.574652
8464-12705,187.789625246,44.712841641,0.0231992,8.576407,18.281378,18.013138,17.429771,16.47385,16.162601,16.010632,16.215754
9494-6102,126.44906464,21.8794112791,0.0157081,8.584869,24.72149,21.104717,19.187181,17.72607,17.139826,16.81456,16.633575
7972-3701,316.541566803,10.3454195236,0.0171611,8.596665,19.430887,18.987915,18.06605,16.760395,16.336424,16.111965,15.990897
7815-6101,316.541566803,10.3454195236,0.0171611,8.596665,19.430887,18.987915,18.06605,16.760395,16.336424,16.111965,15.990897
8258-6101,168.015359771,42.669794885,0.0213349,8.602229,18.599289,19.526072,17.81515,16.754335,16.403633,16.210686,16.220823
8323-12702,196.76151355,34.9786112828,0.0230085,8.605724,Infinity,Infinity,17.554926,16.61233,16.397766,16.206879,16.127384
8150-12702,146.991437311,32.9915460826,0.0220552,8.617627,18.386515,18.207699,17.086245,16.50056,16.21164,16.121473,15.668194
8551-6101,232.196912033,44.2798856352,0.0187986,8.62069,19.39939,18.96403,18.190987,17.146227,16.800936,16.57517,16.451668
8484-6104,248.737041405,46.4470107181,0.0180759,8.625692,17.981655,17.693312,17.110666,16.175695,15.881146,15.724375,15.7363205
8149-6103,119.174197002,28.3718488174,0.0221393,8.629711,19.372572,19.130016,18.15517,17.224342,16.817034,16.652023,16.248837
8989-6102,175.556856086,50.6815002144,0.0229643,8.63161,17.947674,17.72292,17.256449,16.4775,16.274801,16.148687,16.180784
8942-12705,124.670296206,26.5355639805,0.0202021,8.633537,Infinity,Infinity,18.15741,17.369823,16.854174,16.729902,16.236437
8566-6103,113.898295912,41.9635889345,0.010338,8.64159,18.073114,17.706497,16.857647,15.983891,15.573599,15.383868,15.243484
8987-6103,137.268018186,28.2568343402,0.0216554,8.641782,18.735666,18.648397,17.907917,16.786974,16.527111,16.283333,16.099232
9507-6102,128.734304484,26.3823899521,0.0179907,8.665174,19.049847,18.353777,18.419548,16.969032,16.549349,16.30885,16.182589
8996-6104,174.404136013,53.5851736559,0.0213976,8.66539,19.455975,19.18221,18.378113,17.512663,17.115173,16.89194,16.770756
9485-9102,121.080504667,37.7094315834,0.0188169,8.667134,19.498714,19.292376,18.278461,17.161549,16.708733,16.373507,16.126808
8977-12705,119.044357491,33.2450541018,0.0173038,8.673502,18.979986,18.95073,17.97219,16.635523,16.209518,16.020782,15.726467
8553-12703,235.953175089,57.2332325075,0.0135527,8.674684,17.84991,17.341347,16.529055,15.791752,15.429708,15.274371,15.061335
8611-12705,261.979027094,59.7212052974,0.0180936,8.67502,Infinity,17.91937,16.685862,16.15801,15.785298,15.619487,15.470172
8719-9101,119.52021,47.30533,0.0177623,8.686747,18.773548,18.780476,18.475574,16.405165,16.030218,16.089434,15.914129
8548-9102,244.914628957,47.8732126405,0.0209365,8.687486,Infinity,Infinity,16.553524,15.785733,15.629121,15.522789,15.502847
8483-12704,247.085172003,48.2144891104,0.0210394,8.687797,18.577545,18.384474,17.5673,16.504759,16.312399,16.027271,15.80281
8940-3704,121.344103078,25.54201557,0.0169908,8.697033,Infinity,Infinity,17.49835,16.470379,16.105995,15.900796,15.761228
8991-3703,176.022990288,52.8580410347,0.0190857,8.697366,Infinity,Infinity,18.199417,17.086147,16.642635,16.416176,16.350197
8241-6101,127.048525638,17.37465808,0.0208729,8.699623,17.835348,17.856037,17.27628,16.384624,16.136364,15.944424,15.799816
9876-12704,195.17736,28.11632,0.020701,8.7048235,20.210482,18.48102,19.579428,17.73923,17.210001,16.897923,16.299498
9195-1901,27.5653058921,13.1407727975,0.0160721,8.707482,23.058197,21.725748,19.925556,18.115673,17.24822,16.792856,16.514532
8135-6101,115.242270211,39.3793234826,0.0108501,8.708425,19.184109,18.941553,17.300383,16.162817,15.670916,15.423943,15.201603
8139-3702,114.758707244,33.9160463625,0.0130524,8.708861,Infinity,Infinity,16.894709,15.945902,15.611521,15.372674,15.1349325
8257-3704,165.553613585,45.3038714285,0.0202203,8.715775,19.578617,18.974905,17.55362,16.461218,16.14558,15.95317,15.9407835
8567-6102,119.315453104,47.8030370862,0.0227374,8.719286,19.66731,19.428524,18.502913,17.560844,17.131327,16.889505,16.794573
8549-1901,241.113656819,44.9216512433,0.0195562,8.724018,Infinity,Infinity,18.171835,17.075174,16.624239,16.408056,16.210356
8139-12704,115.042928938,32.2064392751,0.0135385,8.725809,Infinity,Infinity,17.050697,16.048155,15.688066,15.492943,15.227713
8623-9101,311.347364242,0.492528629548,0.013354,8.727511,19.545277,18.986813,17.605074,16.3091,15.675032,15.463291,15.102112
8936-3703,117.54378,30.68509,0.0147903,8.729166,18.276976,17.920092,16.925354,16.136463,15.767118,15.579228,15.355221
8439-1901,141.190236455,49.4448016737,0.0163661,8.729661,Infinity,Infinity,18.232998,17.004513,16.468777,16.159538,16.031197
8993-9101,165.13845,46.34362,0.0215818,8.731578,19.627869,19.52841,18.171186,17.189661,16.796513,16.445595,16.250395
8939-3704,125.853157621,24.6734435513,0.015559,8.732063,18.704847,18.509071,17.50732,16.568958,16.170797,15.954185,15.754988
9865-6101,225.102417723,49.2540690353,0.0143841,8.732989,Infinity,Infinity,17.784866,16.616186,16.091463,15.795416,15.547192
9027-6104,245.685828787,32.21665959,0.0220876,8.73324,18.860662,18.49923,18.094992,16.947958,16.588228,16.30363,16.378223
9497-9101,116.57006,20.75229,0.0168655,8.733635,18.517254,18.130594,17.441807,16.572838,16.202988,16.045063,15.904711
9494-12705,127.252980642,21.9633831158,0.0204062,8.734183,20.074211,19.494848,18.22138,17.10534,16.642794,16.428064,16.18178
8259-9101,178.343964227,44.920519964,0.0194392,8.736823,17.572456,17.347284,16.98332,16.188053,15.956435,15.853335,15.770846
8458-9102,146.978913532,45.4684754662,0.0153312,8.73772,18.5002,17.944153,17.442528,16.389088,16.008518,15.82458,15.669732
8548-3702,243.326814088,48.391805707,0.0199003,8.7388315,17.725475,17.395916,16.892641,16.105364,15.870028,15.742449,15.601541
8980-12704,225.59269,41.92164,0.016333,8.739361,17.839645,17.487392,16.754555,15.606771,15.21535,15.079807,15.112711
8711-3703,119.183463603,52.9890468961,0.0178415,8.740517,21.018394,21.888275,18.729454,17.769274,17.111538,16.769066,16.55257
8942-12703,125.21338865,28.4058888443,0.0154449,8.740609,19.621323,19.163485,17.979416,17.043493,16.584288,16.323467,16.136305
8239-3702,116.887259522,49.2467553242,0.0216787,8.748111,19.920822,20.078482,18.962566,17.601437,17.000488,16.73544,16.293835
8247-12701,138.275133843,43.0134634139,0.0141216,8.749234,Infinity,Infinity,16.699791,15.887139,15.620136,15.413885,15.197386
8718-12705,121.521828696,44.6201422805,0.0227136,8.749906,18.94246,18.706053,17.35729,16.790237,16.483799,16.083689,16.29735
8716-1901,119.779693162,52.7471754361,0.0191814,8.7510605,22.64057,21.424208,19.29732,17.838156,17.207361,16.820488,16.679382
8615-1901,321.07220197,1.02835983255,0.0197432,8.757525,17.24002,16.888021,16.390404,15.500293,15.316985,15.228687,15.1176405
7815-12701,318.026426419,11.3451572409,0.0167432,8.761006,19.300587,19.060886,18.403837,16.750267,16.190523,15.925304,15.63459
8618-1902,318.026426419,11.3451572409,0.0167432,8.761006,19.300587,19.060886,18.403837,16.750267,16.190523,15.925304,15.63459
9184-12702,119.323870662,31.4701909633,0.0175736,8.764084,18.580635,18.258505,17.461685,16.510195,16.16737,15.966296,15.905308
8728-6104,59.5806067206,-4.7304828676,0.017662,8.764218,19.689041,19.481514,18.188326,16.870241,16.419456,16.07991,15.7745495
9485-12702,121.146375974,35.9977434187,0.0187191,8.76505,18.996658,18.573402,17.747347,16.728472,16.335056,16.138119,16.04586
9494-12701,126.910629852,21.2568547334,0.016049,8.765354,20.565939,20.131739,18.080435,16.99046,16.491182,16.24741,15.888264
8715-12704,121.17245095,50.7185278544,0.0226179,8.765584,17.974329,17.785547,17.172848,16.386444,16.142818,15.989294,15.760449
8980-3704,224.205960905,41.5964025465,0.0162132,8.767144,18.045282,17.565882,16.90653,15.889123,15.530759,15.252591,15.222207
8625-6101,257.951198065,56.8671383427,0.0175408,8.767376,18.698526,18.61179,17.73328,16.686502,16.253004,15.97845,15.671542
8147-12704,118.67516,26.64273,0.0157224,8.767439,Infinity,Infinity,17.594604,16.880331,16.425192,16.178608,15.897818
9037-1901,234.802135726,43.9616686177,0.0187831,8.768205,21.51075,22.333467,19.16558,17.89568,17.202173,16.86921,16.66621
8711-12702,117.022953768,51.9445031406,0.0195266,8.768718,18.425049,19.020004,17.985548,16.879822,16.474838,16.200201,16.14871
8950-3701,194.826188526,26.8898280762,0.018254,8.77211,23.152243,21.617659,19.246822,17.72307,17.095263,16.768208,16.661125
8459-9102,149.888880629,43.6605000576,0.0170491,8.77288,17.78596,17.644398,16.988703,15.984557,15.707519,15.534242,15.535942
8134-6104,116.28665,47.55237,0.0212825,8.773186,20.264433,20.110567,18.675167,17.61609,17.097532,16.786264,16.79761
8949-12703,195.866423768,28.5641675977,0.0158929,8.775062,18.368916,18.220673,17.411825,16.50188,16.125975,15.958966,15.723621
8995-9102,174.18414,54.64984,0.0186037,8.776103,19.450521,19.435862,17.950464,16.855408,16.465406,16.286243,15.968745
8466-9102,170.583304144,46.7013329603,0.0174758,8.777683,Infinity,Infinity,16.521458,15.697478,15.469129,15.317507,15.235754
8461-1901,144.104503096,43.8476063031,0.0148776,8.781876,20.061361,19.716713,18.367315,17.079817,16.514843,16.209654,16.004602
8716-12701,119.633813077,52.5979639759,0.0189968,8.783388,21.004877,20.192448,18.57629,17.70754,17.059721,16.713774,16.245592
8447-1901,205.251609293,39.0568983145,0.0202221,8.785762,17.98818,17.679924,17.160086,16.261913,15.983818,15.83294,15.698504
9183-9102,121.88361,38.55001,0.0223205,8.786824,19.922731,19.430302,17.281496,16.444815,16.210144,15.989205,15.698611
8147-9102,118.852820823,26.9863497763,0.0152357,8.787662,Infinity,Infinity,16.72567,15.92003,15.6507015,15.456255,15.278624
9025-12702,244.56538,29.64843,0.020204,8.788302,Infinity,Infinity,19.488066,18.90406,17.605255,17.007854,16.556475
8146-6103,116.526085294,29.2108610114,0.0229121,8.789866,18.676338,18.449303,17.825245,16.942072,16.611784,16.391544,16.26524
