ra,dec,u,g,r,i,z,plate,mjd,fiberid
86.4807399259677,0.406431085343764,21.58409,18.81102,17.39306,16.22347,15.59782,1247,52677,360
87.5551863101081,0.361873279980086,21.6951,18.73795,17.28358,15.95182,15.23054,1247,52677,499
87.8809164912699,0.375853661825177,21.56131,19.00726,17.35407,16.21972,15.57144,1247,52677,505
88.1042126650309,0.222736553253975,21.45644,18.72382,17.24832,16.04225,15.38871,1247,52677,554
88.3752093026799,0.243872268909763,20.17097,17.73855,16.38548,15.11287,14.42102,1248,54477,341
88.4489585540691,0.332953599836555,21.5389,18.79773,17.32355,16.03982,15.33007,1248,54477,350
55.9909766504328,0.845039536087538,20.89173,18.08074,17.46266,17.20849,17.13342,7331,56658,906
56.4857961494193,0.843531400260514,17.98595,16.77582,16.2295,16.00589,15.89195,1632,52996,619
56.9018943740659,0.845329737938313,19.23049,17.21716,16.38172,16.05841,15.88405,1529,52930,396
80.224782868997,0.83425138907514,18.12716,16.95737,16.40913,16.18926,16.05978,7261,56603,412
80.3439842168852,0.830512595005679,18.35316,17.11153,16.6132,16.39966,16.27895,7261,56603,409
80.2451846658537,0.759445339771986,20.2583,17.72536,16.26773,15.10048,14.46076,7261,56603,413
80.5153817020108,0.695533190169463,18.35388,17.29353,16.86982,16.69375,16.61706,7261,56603,368
80.5310671962758,0.65212616468452,20.93734,18.78768,17.35549,15.74121,14.83322,7261,56603,369
80.8648263186644,0.7438570374768,20.27327,17.86084,16.42569,15.15961,14.42588,7261,56603,331
81.1420737267584,0.772432930918425,20.41501,18.21362,16.79914,15.31853,14.45358,7261,56603,292
81.5010760463547,0.776602564045003,20.96136,18.42334,16.9644,15.27027,14.35267,7261,56603,210
81.6969682409304,0.706730631790127,17.09822,16.03646,15.68712,15.53984,15.48392,7261,56603,174
81.6232000545901,0.690299042612589,21.41811,18.67995,17.29773,15.96797,15.24004,1244,52674,329
82.2036181215145,0.658314284788204,20.42114,17.95803,16.56735,15.28324,14.60554,1244,52674,447
82.3776151291582,0.655805695568352,18.51831,17.18312,16.56709,16.29447,16.14258,2052,53401,323
82.4611496637206,0.716584479189413,19.29461,17.58884,16.94533,16.72765,16.60235,2052,53401,339
82.361119849248,0.685487473612432,19.75853,18.09424,17.41574,17.14964,16.99874,2052,53401,335
82.5700560836871,0.68975804097505,18.90158,17.5269,16.85674,16.55443,16.39288,2052,53401,374
82.6819831868791,0.716214316020718,19.10958,17.69579,17.04789,16.77481,16.62745,2052,53401,379
82.7752383320158,0.801605574568002,16.72386,15.47946,14.93361,14.68833,14.46396,2072,53430,370
82.8242665823176,0.77430068440914,17.2571,15.65451,15.13963,14.55403,14.33518,2052,53401,370
83.2111710828459,0.708939952406545,18.58763,17.27563,16.60342,16.3196,16.13949,2052,53401,450
83.3915841122668,0.761282298916445,18.20163,16.9334,16.3319,16.0578,15.90233,2052,53401,453
83.4664363724921,0.777610078430734,19.12162,17.8312,17.42871,17.24813,17.16633,2052,53401,531
83.5410322868141,0.692807937688572,16.85,15.56342,15.06483,14.87359,14.7831,2052,53401,536
83.6783514303552,0.772089320364914,20.2094,18.31591,17.44896,17.06503,16.78512,2052,53401,534
84.1482817647339,0.642668321746877,16.38034,15.14228,14.62816,14.41515,14.26009,2052,53401,613
84.2283147561841,0.70453576476344,17.2235,16.46866,16.48365,16.55374,16.6224,2052,53401,618
84.2422328537064,0.752843507698017,18.86058,17.23028,16.47231,16.1429,15.9599,2052,53401,612
84.2529013465378,0.788275713051966,17.04257,15.5861,15.6642,14.99645,14.90909,2052,53401,602
84.3527164061389,0.671577717840727,17.95963,16.67808,16.2751,16.1347,16.0455,2052,53401,617
84.35566803784,0.817254517857898,20.90294,18.65942,17.28951,15.81657,15.01777,1245,53770,452
85.8904768895366,0.655005115780632,19.94801,18.00044,17.09683,16.73794,16.50853,7257,56658,612
85.970797758732,0.67434622038668,19.80686,18.20759,17.44694,17.13337,16.91378,7257,56658,602
85.9995317037443,0.760410284314284,19.71809,17.93228,17.13127,16.82619,16.63731,7257,56658,606
86.0381090296278,0.819026870859521,21.21736,18.84782,17.44509,16.29465,15.68549,1246,54478,446
86.5479247351903,0.820134529128154,21.16796,18.22911,16.33367,15.32192,14.60133,1246,54478,527
86.9374934672047,0.644993287658002,21.38056,19.664,16.82383,15.0348,13.58833,1247,52677,437
86.9736127208552,0.722389720664261,20.50902,18.02885,16.58324,15.15522,14.40394,1246,54478,573
87.0089657706044,0.828046256646066,21.91784,19.01566,16.82673,15.58235,14.70083,1247,52677,337
87.0219725133627,0.73309127729986,20.97823,18.51513,16.58239,15.39069,14.53096,1247,52677,332
87.0619445797851,0.789009260470271,22.21477,19.58688,17.42599,16.15113,15.22745,1246,53783,616
88.510993192978,0.820442510085749,20.32499,17.99841,16.53923,15.30266,14.61557,1247,52677,620
54.5259170878279,1.26588257680341,20.55058,18.33437,17.37556,17.01755,16.80163,7331,56658,661
55.5410530712916,1.26623206306495,18.05611,16.35564,15.68311,15.43738,15.3242,7331,56658,821
80.0481667675731,1.07680644497694,16.04134,15.03682,14.63336,14.47409,14.40287,7261,56603,463
80.0879830800868,1.0823794335245,18.15184,16.91889,16.45674,16.28763,16.19976,7261,56603,467
80.1446038947648,1.05658639242683,17.0497,15.89419,15.42523,15.24564,15.32058,7261,56603,422
80.4010297100032,1.17908932253532,17.41985,16.24348,15.79889,15.61912,15.55967,7261,56603,383
80.4974289190076,1.07423845935134,15.83061,14.71294,14.3038,14.57992,14.08632,7261,56603,389
80.6054488128922,1.11235558237937,17.31382,16.15133,15.69397,15.57976,15.52574,7261,56603,346
80.9754434395018,1.13689883827213,17.56223,17.46462,16.39358,15.7791,15.06147,7261,56603,307
81.2921412925949,1.10241489127415,20.13745,17.36907,16.23053,15.10132,14.42257,7261,56603,258
81.607393817735,1.12555181885858,18.80227,17.77774,17.38675,17.22668,17.15102,7261,56603,186
81.7118016240057,1.18785222178238,16.83552,15.65989,15.21338,15.02488,14.95213,7261,56603,142
81.6647794631722,1.20069004694607,20.17306,17.68483,16.27684,15.0977,14.45953,7261,56603,156
81.7110215119828,1.06371988754594,20.40743,18.11869,16.69376,15.33897,14.53528,1244,52674,345
81.9193015524914,1.06593583482085,18.28678,15.9818,14.66786,14.25826,13.4937,7261,56603,132
82.0266037133038,1.13237395369945,16.50459,15.18312,14.68919,14.51255,14.43709,7261,56603,104
82.1957070717781,1.1533624275986,18.91327,16.81745,16.02782,15.73119,15.57139,7261,56603,79
82.2117028537149,1.08970124627188,17.55873,16.30663,15.89563,15.73123,15.64901,7261,56603,64
82.2147991012541,1.13456929771299,17.69268,16.43389,16.04524,15.88545,15.82177,7261,56603,65
82.2542304550603,1.05693760627706,17.48093,15.72839,15.04843,14.8241,14.72089,2052,53401,328
82.2731712246423,1.07944735480122,18.5369,17.46105,17.05694,16.88,16.79718,1244,52674,427
82.2165991022775,1.11186457000203,19.75945,17.83716,17.02876,16.68903,16.50007,7261,56603,61
82.4045204577984,1.08541189232928,19.19237,17.88154,17.24968,16.96093,16.77757,2052,53401,324
82.4236543265899,1.09451558424756,17.23808,15.64786,15.01637,14.7884,14.68237,2052,53401,327
82.3904339407817,1.20658773620942,19.32651,17.75107,17.13007,16.89304,16.79228,2052,53401,321
82.599412081527,1.15440894008224,18.10701,16.34744,15.53905,15.16493,14.96451,2052,53401,369
82.5563924092936,1.21048611742481,19.79729,18.04529,17.27935,16.93728,16.75652,2052,53401,365
82.5632635656813,1.22665996024615,19.23974,17.57343,16.89635,16.6293,16.4982,2052,53401,378
83.0375422241657,1.12699333182845,17.52398,16.0421,15.40322,15.13365,14.98692,2052,53401,401
83.0948402774966,1.14012390112379,20.10278,18.02892,17.17735,16.85343,16.6629,2052,53401,447
83.2461468681799,1.17166980759963,16.85776,15.55194,15.14762,14.99704,14.94561,2052,53401,449
83.247590311119,1.20003722322948,18.00292,16.26539,15.49275,15.18416,15.02153,2052,53401,442
83.2314868199115,1.16322062003885,20.22165,18.35571,17.48466,17.11105,16.87047,2052,53401,446
83.481751046961,1.21662081710983,18.80371,17.10419,16.16411,15.70085,15.35242,2052,53401,532
83.4128002340046,1.19539056631745,20.91361,18.27743,16.8549,15.62334,14.99939,1244,52674,625
83.5714836100098,1.1895605347424,17.68746,16.29579,15.62724,15.32185,15.15757,2052,53401,528
83.8843372439385,1.05909881925129,18.54147,17.2538,16.68313,16.44974,16.33292,2052,53401,566
84.0416388911171,1.12045193317335,18.16806,16.26461,15.47461,15.16823,15.27263,2052,53401,604
84.1527225131375,1.10979732758494,21.34896,18.75706,17.31087,16.04146,15.37094,1245,53770,417
85.9278662023674,1.23742220315837,21.39739,18.79776,17.37662,16.20591,15.50997,1246,54478,405
86.9523968196859,1.05575083634132,20.98418,18.19458,16.36163,15.35214,14.66736,1247,52677,326
87.0323041757595,1.20675546049401,20.99004,18.36915,16.91728,15.71018,15.15791,1247,52677,367
87.4411370534791,1.0714160646317,21.39453,18.96299,16.91019,15.71109,14.84654,1247,52677,412
84.0985980132326,-0.350264890788794,18.0106,16.50186,15.88938,15.66548,15.53923,2052,53401,66
84.073542214986,-0.239851558510131,20.22843,18.12144,17.15449,16.76395,16.51059,2072,53430,103
84.1928666133145,-0.243291228995127,18.25343,16.94416,16.44134,16.22317,16.10049,2052,53401,78
83.6145202348288,0.0380445475582319,19.29804,17.93739,17.32051,17.00373,16.85047,2052,53401,493
83.6312962173471,0.159490338490955,19.37115,17.70177,16.79014,16.31441,16.01774,2052,53401,481
83.6637864779172,0.125108769897932,20.68209,18.37365,17.11083,16.48843,16.07283,2052,53401,520
99.7107775371579,-1.0152819765248,18.37194,15.98578,14.77608,14.1973,13.78865,7258,56605,490
99.8487509013254,-1.07139664763062,18.2931,15.54402,14.19211,13.53752,13.09513,7258,56605,486
100.063663140334,-0.971001744106652,18.71377,15.47503,14.02213,13.39468,12.94242,7258,56605,424
100.27005154167,-1.0240353770565,19.27707,16.75296,15.46598,14.86056,14.43069,7258,56605,425
99.596435517741,-0.70751446392254,16.44524,14.99401,14.45149,14.23135,14.11356,7258,56605,494
99.9019442915732,-0.688228111303742,16.30869,14.81907,14.22559,13.98152,13.83462,7258,56605,476
99.9235983126542,-0.696657637718874,18.11262,15.55984,14.26648,13.66982,13.27262,7258,56605,464
99.8578984568012,-0.528431401865053,19.3075,16.65691,15.28921,14.64381,14.2546,7258,56605,499
99.9232777435129,-0.575429140660519,19.3161,16.82574,15.49405,14.86199,14.40858,7258,56605,480
100.243625536169,-0.554525280727127,17.53326,15.23979,14.31731,13.87701,13.61668,7258,56605,393
100.208910913863,-0.689040719733434,18.65517,16.47797,15.39157,14.88541,14.48853,7258,56605,429
100.390470319695,-0.555037077572858,18.24998,15.50566,14.08174,13.47944,13.09516,7258,56605,389
99.5229820758003,-0.27929150119569,19.70891,17.06121,15.67178,14.98431,14.4695,7258,56605,517
99.5987989803589,-0.164966544408601,20.06873,17.37537,15.96491,14.82924,14.21698,7258,56605,515
99.7198738240839,-0.195664679896081,17.4527,15.20457,14.22327,13.80928,13.54615,7258,56605,512
100.085591428843,-0.170594126409814,16.33307,14.75739,14.18637,14.01078,13.91708,7258,56605,574
100.051079559711,-0.283105899161924,19.12341,16.58392,15.26588,14.62457,14.14859,7258,56605,579
99.6257412893335,0.162070162492596,20.01221,17.46015,16.04796,15.35422,14.86037,7258,56605,503
99.6861840989021,0.178141472848015,18.27671,16.06061,15.01363,14.55837,14.26924,7258,56605,501
99.7346669319733,0.160287959215373,17.60005,15.64798,14.96702,14.64446,14.41837,7258,56605,526
99.7132586581585,0.197227382146932,16.34555,15.15453,14.64947,14.41756,14.21426,7258,56605,502
99.8639178574393,0.29698690326337,19.72306,17.05117,15.6027,14.8947,14.35347,7258,56605,522
99.9678102654406,0.305524208122626,16.38135,14.81422,14.224,13.96774,13.82713,7258,56605,560
100.148890289439,0.210900118449834,17.3626,15.30423,14.25304,13.77361,13.45362,7258,56605,566
99.8818287810244,0.559673838402222,16.59443,14.9641,14.35869,14.07938,13.90511,7258,56605,544
99.9595190096888,0.614494838947264,19.19112,16.63538,15.29524,14.59272,14.09674,7258,56605,543
